,agg_dob_first,agg_dob_second,agg_height_first,agg_height_second,agg_reach_first,agg_reach_second,agg_stand_first,agg_stand_second,agg_str_acc_first,agg_str_acc_second,agg_weight_first,date_card,first_fighter_res,first_sig_str_,first_sig_str_percentage,first_total_str,method,second_sig_str_percentage,second_total_str,time,type
2315,28-Jan-81,24-Aug-70,"6' 0""","5' 11""","74""","74""",Orthodox,Orthodox,50%,47%,185 lbs.,6-Jun-15,L,3 of 6,50%,3 of 6, KO/TKO ,80%,12 of 15,0:28,
2316,17-Oct-81,15-Jul-78,"6' 4""","6' 3""","78""","82""",Orthodox,Switch,42%,50%,265 lbs.,6-Jun-15,W,5 of 16,31%,6 of 17, Submission ,38%,8 of 21,1:54,
2317,19-Jan-89,7-Sep-87,"5' 9""","5' 10""","72""","75""",Southpaw,Orthodox,50%,35%,155 lbs.,6-Jun-15,W,27 of 36,75%,36 of 46, KO/TKO ,46%,6 of 13,2:38,perf
2318,10-Sep-74,,"6' 2""",,"73""",,Southpaw,,50%,,230 lbs.,3-Feb-07,W,20 of 39,51%,32 of 51, KO/TKO ,12%,5 of 40,4:33,
2319,8-Nov-84,21-Feb-91,"5' 7""","5' 8""","70""","69""",Orthodox,Switch,40%,38%,145 lbs.,6-Jun-15,L,39 of 94,41%,114 of 177, KO/TKO ,40%,56 of 117,4:10,fight
2320,22-Mar-87,16-May-86,"5' 6""","5' 8""","65""","69""",Orthodox,Orthodox,41%,36%,135 lbs.,6-Jun-15,L,1 of 9,11%,1 of 9, KO/TKO ,41%,18 of 41,1:37,
2321,8-Oct-81,20-Jun-88,"5' 8""","5' 10""","70""","73""",Orthodox,Southpaw,41%,50%,135 lbs.,6-Jun-15,W,5 of 9,55%,5 of 9, KO/TKO ,0%,0 of 5,0:21,
2322,21-Oct-84,7-Feb-85,"6' 0""","6' 3""","75""","79""",Southpaw,Orthodox,50%,50%,260 lbs.,6-Jun-15,W,23 of 37,62%,65 of 83, KO/TKO ,26%,8 of 25,0:48,perf
2323,27-Nov-80,12-Oct-87,"6' 0""","6' 0""","73""","73""",Southpaw,Orthodox,49%,35%,170 lbs.,6-Jun-15,L,2 of 13,15%,3 of 14, KO/TKO ,37%,16 of 41,5:00,
2324,26-Apr-84,3-Oct-83,"6' 2""","5' 9""","75""","70""",Orthodox,Orthodox,39%,41%,170 lbs.,30-May-15,W,75 of 162,46%,107 of 200, TKO - Doctor's Stoppage ,49%,35 of 70,5:00,
2325,30-Sep-87,23-Jan-90,"5' 10""","5' 10""","70""","71""",Orthodox,Orthodox,53%,41%,155 lbs.,6-Jun-15,W,32 of 57,56%,55 of 80, Decision - Unanimous ,33%,41 of 98,5:00,
2326,10-Aug-85,26-Jan-83,"5' 10""","5' 10""","72""","70""",Orthodox,Orthodox,36%,42%,155 lbs.,6-Jun-15,W,67 of 175,38%,69 of 177, Submission ,36%,71 of 179,4:58,
2327,27-Apr-84,25-Oct-88,"5' 11""","6' 3""",--,"78""",Orthodox,Orthodox,31%,42%,185 lbs.,6-Jun-15,L,47 of 151,31%,69 of 174, Decision - Split ,31%,84 of 232,5:00,
2328,28-Jul-90,22-Dec-92,"5' 8""","5' 8""","69""",--,Southpaw,Southpaw,45%,47%,135 lbs.,6-Jun-15,W,2 of 3,66%,4 of 5, Submission ,75%,3 of 4,2:34,
2329,17-Jun-84,1-Apr-77,"6' 2""","6' 0""","78""","74""",Orthodox,Southpaw,43%,46%,185 lbs.,23-May-15,W,46 of 69,66%,50 of 73, KO/TKO ,56%,19 of 36,2:53,belt perf
2330,13-Aug-84,17-Oct-89,"5' 8""","5' 10""","68""","74""",Orthodox,Orthodox,47%,52%,145 lbs.,30-May-15,L,37 of 69,53%,58 of 95, Submission ,76%,84 of 105,1:10,fight perf
2331,7-Dec-82,21-Feb-88,"5' 10""","5' 11""","70""","76""",Orthodox,Orthodox,35%,50%,155 lbs.,30-May-15,L,7 of 11,63%,7 of 11, Submission ,23%,4 of 14,2:51,
2332,28-Feb-80,27-Nov-81,"6' 1""","6' 1""","75""","73""",Orthodox,Orthodox,52%,66%,205 lbs.,30-May-15,W,46 of 96,47%,67 of 117, Decision - Unanimous ,57%,46 of 74,5:00,
